Date,Event
2025-09-26,Family Weekend
2025-09-27,Family Weekend
2025-09-27,Home Football Game
2025-09-28,Family Weekend
2025-10-17,Homecoming
2025-10-18,Homecoming
2025-10-18,Home Football Game
2025-10-19,Homecoming
2025-10-22,Fall Break
2025-10-23,Fall Break
2025-10-24,Fall Break
2025-10-25,Fall Break
2025-10-26,Fall Break
2025-11-22,Thanksgiving Holiday
2025-08-30,Home Football Game
2025-09-27,Home Football Game
2025-10-11,Home Football Game
2025-10-18,Homecoming
2025-11-15,Home Football Game
2025-11-22,Home Football Game
